exp_id,seed,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,n_units
E62,456,B_5fold,0.101237952709198,0.002912150928750634,0.15438462793827057,0.003652661107480526,0.7649568319320679,0.015274864621460438,5_folds
E62,456,C-hole,0.3982253074645996,nan,0.5412810444831848,nan,-0.19061005115509033,nan,53_LOOCV
E62,456,C-triplet,0.7660011053085327,nan,0.9831714630126953,nan,-0.7403258085250854,nan,49_LOOCV
E63,456,A_5fold,0.15145623683929443,0.009259922429919243,0.21241581439971924,0.013887756504118443,0.745391845703125,0.029352815821766853,5_folds
E63,456,B_5fold,0.08199934661388397,0.0016666690353304148,0.1260499805212021,0.00434055645018816,0.8435214757919312,0.008482768200337887,5_folds
E63,456,C-hole,0.3652520179748535,nan,0.5010180473327637,nan,-0.02007138729095459,nan,53_LOOCV
E63,456,C-triplet,0.7641828656196594,nan,0.9366875886917114,nan,-0.5796525478363037,nan,49_LOOCV
E66,456,A_5fold,0.15024922788143158,0.009302815422415733,0.21165630221366882,0.014096490107476711,0.7470670938491821,0.031103916466236115,5_folds
E66,456,B_5fold,0.08052629977464676,0.0018399941036477685,0.12427543103694916,0.003861796809360385,0.8477424383163452,0.010144746862351894,5_folds
E66,456,C-hole,0.3863629102706909,nan,0.5343913435935974,nan,-0.1604936122894287,nan,53_LOOCV
E66,456,C-triplet,0.6428802013397217,nan,0.8124703764915466,nan,-0.18846702575683594,nan,49_LOOCV
E60,789,C-hole,0.4519028961658478,nan,0.6769781112670898,nan,-0.8624007701873779,nan,53_LOOCV
E60,789,C-triplet,0.7393480539321899,nan,0.8926370143890381,nan,-0.43457019329071045,nan,49_LOOCV
E61,789,A_5fold,0.1677907407283783,0.004192928783595562,0.23577356338500977,0.005862254183739424,0.6870392560958862,0.00930075440555811,5_folds
E61,789,B_5fold,0.10298528522253036,0.004782597068697214,0.15751026570796967,0.004526947624981403,0.7556926012039185,0.010808327235281467,5_folds
E61,789,C-hole,0.3859191834926605,nan,0.5203120112419128,nan,-0.10014915466308594,nan,53_LOOCV
E61,789,C-triplet,0.756705641746521,nan,0.9699574708938599,nan,-0.6938595771789551,nan,49_LOOCV
E62,789,A_5fold,0.1700802594423294,0.004874302074313164,0.23876766860485077,0.01004837267100811,0.6785951852798462,0.025032715871930122,5_folds
E62,789,B_5fold,0.10236907005310059,0.004614775534719229,0.156365305185318,0.00803699716925621,0.7583433985710144,0.026583388447761536,5_folds
E62,789,C-hole,0.3829599916934967,nan,0.5386945605278015,nan,-0.17925870418548584,nan,53_LOOCV
E62,789,C-triplet,0.8019755482673645,nan,1.0347181558609009,nan,-0.9275968074798584,nan,49_LOOCV
E63,789,A_5fold,0.16309161484241486,0.015020751394331455,0.227591872215271,0.018588019534945488,0.7062498927116394,0.05022546648979187,5_folds
E63,789,B_5fold,0.08504980802536011,0.004769753199070692,0.12864376604557037,0.005655681248754263,0.8369865417480469,0.011390026658773422,5_folds
E63,789,C-hole,0.36611494421958923,nan,0.5135313272476196,nan,-0.07166182994842529,nan,53_LOOCV
E63,789,C-triplet,0.7274569272994995,nan,0.9031378626823425,nan,-0.46852076053619385,nan,49_LOOCV
E66,789,A_5fold,0.15238359570503235,0.0053071738220751286,0.21711917221546173,0.009807766415178776,0.7339345812797546,0.025130871683359146,5_folds
E66,789,B_5fold,0.0810910314321518,0.005816595163196325,0.12504014372825623,0.009255360811948776,0.8452087640762329,0.022982198745012283,5_folds
E66,789,C-hole,0.36390337347984314,nan,0.508137583732605,nan,-0.049268245697021484,nan,53_LOOCV
E66,789,C-triplet,0.6975053548812866,nan,0.8981279134750366,nan,-0.4522736072540283,nan,49_LOOCV
E60,1000,C-hole,0.383044958114624,nan,0.6001389622688293,nan,-0.46361732482910156,nan,53_LOOCV
E60,1000,C-triplet,0.8093777298927307,nan,0.9336914420127869,nan,-0.5695631504058838,nan,49_LOOCV
E61,1000,A_5fold,0.15987221896648407,0.011801204644143581,0.2228095531463623,0.013100960291922092,0.7198343276977539,0.030586957931518555,5_folds
E61,1000,B_5fold,0.0920579582452774,0.004448543302714825,0.1356377899646759,0.005229409318417311,0.8185089230537415,0.014891977421939373,5_folds
E61,1000,C-hole,0.3894384503364563,nan,0.5189228653907776,nan,-0.09428250789642334,nan,53_LOOCV
E61,1000,C-triplet,0.7517343759536743,nan,0.9784737229347229,nan,-0.7237344980239868,nan,49_LOOCV
E62,1000,A_5fold,0.1678617298603058,0.008070237003266811,0.2357552945613861,0.010427476838231087,0.6865415573120117,0.026495084166526794,5_folds
E62,1000,B_5fold,0.10100392252206802,0.003981389570981264,0.15460017323493958,0.0064544533379375935,0.7635907530784607,0.026420895010232925,5_folds
E62,1000,C-hole,0.39821863174438477,nan,0.5378503203392029,nan,-0.17556536197662354,nan,53_LOOCV
