filter,n,SchNet_R2,SchNet_MAE,GIN_R2,GIN_MAE
no_O,33,0.23102818988347396,0.33894545454545455,-0.08364974306194828,0.44853939393939396
bertz_hi & chrg_hi,20,0.22826666050368227,0.25218,0.09506837935452828,0.29276
rot=0 & bertz_hi,18,0.22811595029433018,0.2826333333333333,0.024781466026175925,0.35382222222222226
HA>=14 & n_het>=4,28,0.22070538601406442,0.3073535714285714,-0.10614161781899933,0.40277142857142856
chrg_hi & TPSA_hi,19,0.20342709238705736,0.24508947368421052,0.07286422442147766,0.2912263157894737
n_N>=2 & chrg_hi,18,0.20291779516841235,0.2566722222222222,0.0737998183665255,0.30285555555555566
n_N>=1 & chrg_hi,18,0.20291779516841235,0.2566722222222222,0.0737998183665255,0.30285555555555566
n_N>=1 & HA>=14,30,0.197262524369483,0.32337666666666665,-0.11529765897399491,0.4214366666666667
n_N>=2 & HA>=14,30,0.197262524369483,0.32337666666666665,-0.11529765897399491,0.4214366666666667
n_cyano>=2 & DA<0.2,10,0.1960942537773539,0.35168999999999995,-0.16372462291822898,0.5173500000000001
n_cyano>=1 & DA<0.2,10,0.1960942537773539,0.35168999999999995,-0.16372462291822898,0.5173500000000001
chrg_hi,27,0.19396021995250623,0.2572925925925926,0.10536137016907621,0.29418888888888894
chrg_hi & has_5ring,27,0.19396021995250623,0.2572925925925926,0.10536137016907621,0.29418888888888894
chrg_lo & HA>=14,13,0.19319961713438738,0.4199846153846154,-0.21486091749121772,0.585953846153846
rot=0 & HA>=14,23,0.1851846046946436,0.2977304347826087,0.050429081570690704,0.33615652173913046
has_5ring,53,0.18062163201374692,0.3035150943396226,-0.030925809190822884,0.3664735849056604
HA>=14,35,0.17875957374503793,0.3286,-0.09589510795032741,0.41091999999999995
HA>=14 & has_5ring,35,0.17875957374503793,0.3286,-0.09589510795032741,0.41091999999999995
rot=0 & chrg_hi,21,0.17438674522779807,0.22257619047619043,0.29822906099617064,0.23716190476190477
rot=0 & has_5ring,41,0.17295985132238145,0.2788560975609756,0.09118095973567086,0.31152439024390244
rot=0,41,0.17295985132238145,0.2788560975609756,0.09118095973567086,0.31152439024390244
