molecule,neutral_n_conf,cation_n_conf,triplet_n_conf,neutral_conf,cation_conf,triplet_conf,E_S0_Eh,neutral_method,neutral_log,neutral_normal_term,E_cation_Eh,cation_method,cation_log,cation_normal_term,E_T1opt_Eh,triplet_method,triplet_log,triplet_normal_term,S1_vert_eV,S1_vert_log,T1_vert_eV,T1_vert_log,delta_EST_eV,IP_adiabatic_eV,E_ST_adiabatic_eV,E_S0_at_T1geom_Eh,lambda1_S0_eV,lambda2_T1_eV,lambda_T_total_eV,lambda_h_total_eV,lambda_h_note
5ring_oh_out,4,3,10,conf_1,conf_3,conf_6,-458.77628830,RwB97XD,ground.log,True,-458.53200950,UwB97XD,continued_opt.log,True,-458.74029700,UwB97XD,ground.log,True,3.95240000,s0_s1.log,2.63510000,s0_t1.log,1.31730000,6.64716472,0.97937316,-458.72263563,1.45996343,1.65572684,3.11569027,,需要交叉构型单点计算
5ring_ome_3ring_cn_in,3,2,3,conf_1,conf_1,conf_1,-721.84277850,RwB97XD,ground.log,True,-721.60421770,UwB97XD,ground.log,True,-721.82612710,UwB97XD,ground.log,True,2.24970000,s0_s1.log,1.98830000,s0_t1.log,0.26140000,6.49157001,0.45310767,-721.79559930,1.28381142,1.53519233,2.81900375,,需要交叉构型单点计算
5ring_ome_3ring_cn_out,2,3,2,conf_1,conf_2,conf_1,-721.84568270,RwB97XD,ground.log,True,-721.57495990,UwB97XD,ground.log,True,-721.81792210,UwB97XD,ground.log,True,2.45960000,s0_s1.log,1.49030000,s0_t1.log,0.96930000,7.36674261,0.75540440,-721.81633040,0.79871677,0.73489560,1.53361236,,需要交叉构型单点计算
5ring_sh_3ring_cn_in_v2,3,3,3,conf_1,conf_1,conf_1,-1289.18172920,RwB97XD,imaginary_corrected.log,True,-1288.92316790,UwB97XD,ground.log,True,-1289.16080160,UwB97XD,ground.log,True,3.07270000,s0_s1.log,2.11030000,s0_t1.log,0.96240000,7.03581134,0.56946900,-1289.13694817,1.21855389,1.54083100,2.75938489,,需要交叉构型单点计算
CLOFUL,1,1,1,conf_1,conf_1,conf_1,-2608.88803650,RwB97XD,ground.log,True,-2608.64245880,UwB97XD,ground.log,True,-2608.81528390,UwB97XD,ground.log,True,3.66890000,s0_s1.log,2.49070000,s0_t1.log,1.17820000,6.68250959,1.97969908,-2608.86517750,0.62202507,0.51100092,1.13302599,,需要交叉构型单点计算
calicene,1,1,4,conf_1,conf_1,conf_2,-308.31158790,RwB97XD,ground.log,True,-308.05351610,UwB97XD,ground.log,True,-308.27398880,UwB97XD,ground.log,True,4.13180000,s0_s1.log,2.66900000,s0_t1.log,1.46280000,7.02249137,1.02312362,-308.25209200,1.61896590,1.64587638,3.26484228,,需要交叉构型单点计算
cf3_oh_cn_v2,3,2,4,conf_2,conf_1,conf_3,-1317.45251370,RwB97XD,ground.log,True,-1317.17602250,UwB97XD,ground.log,True,-1317.41879330,UwB97XD,ground.log,True,2.74300000,s0_s1.log,2.20810000,s0_t1.log,0.53490000,7.52370877,0.91757882,-1317.40997590,1.15751250,1.29052118,2.44803367,,需要交叉构型单点计算
f_oh_cn,2,2,3,conf_2,conf_1,conf_2,-841.72904230,RwB97XD,imaginary_corrected.log,True,-841.47315160,UwB97XD,ground.log,True,-841.71093940,UwB97XD,ground.log,True,2.39620000,s0_s1.log,2.01780000,s0_t1.log,0.37840000,6.96314061,0.49260500,-841.67376262,1.50423679,1.52519500,3.02943179,,需要交叉构型单点计算
me_oh_cn,6,6,7,conf_1,conf_1,conf_1,-721.87698300,RwB97XD,ground.log,True,-721.64276440,UwB97XD,imaginary_corrected.log,True,-721.87119400,UwB97XD,imaginary_corrected.log,True,2.20060000,s0_s1.log,1.90930000,s0_t1.log,0.29130000,6.37341273,0.15752671,-721.82955710,1.29052447,1.75177329,3.04229776,,需要交叉构型单点计算
sesqui_5ring_2nh2,6,2,3,conf_1,conf_1,conf_1,-573.92211470,RwB97XD,ground.log,True,-573.72272450,UwB97XD,ground.log,True,-573.91161310,UwB97XD,ground.log,True,2.35390000,s0_s1.log,1.44520000,s0_t1.log,0.90870000,5.42568370,0.28576309,-573.86377400,1.58753131,1.15943691,2.74696822,,需要交叉构型单点计算
sesqui_5ring_2nph3,10,3,10,conf_10,conf_1,conf_2,-1257.76408290,RwB97XD,continued_opt.log,True,-1257.58331970,UwB97XD,imaginary_corrected.log,True,-1257.75065600,UwB97XD,ground.log,True,2.28140000,s0_s1.log,1.46440000,s0_t1.log,0.81700000,4.91881721,0.36536456,-1257.70775930,1.53264322,1.09903544,2.63167866,,需要交叉构型单点计算
sesqui_5ring_oh,3,2,4,conf_1,conf_1,conf_1,-613.66080430,RwB97XD,ground.log,True,-613.44729040,UwB97XD,ground.log,True,-613.64340260,UwB97XD,ground.log,True,2.50610000,s0_s1.log,1.62850000,s0_t1.log,0.87760000,5.81000915,0.47352438,-613.59621710,1.75750723,1.15497562,2.91248285,,需要交叉构型单点计算
sesqui_5ring_oh_7ring_2cn_in,3,4,3,conf_2,conf_2,conf_2,-798.12899000,RwB97XD,ground.log,True,-797.88022300,UwB97XD,ground.log,True,-798.12221760,UwB97XD,ground.log,True,2.52370000,s0_s1.log,1.47450000,s0_t1.log,1.04920000,6.76929486,0.18428639,-798.07615700,1.43765916,1.29021361,2.72787277,,需要交叉构型单点计算
sesqui_5ring_oh_7ring_2f_in,3,3,3,conf_3,conf_1,conf_1,-812.16280960,RwB97XD,ground.log,True,-811.94252190,UwB97XD,ground.log,True,-812.15453250,UwB97XD,continued_opt.log,True,2.14000000,s0_s1.log,1.17810000,s0_t1.log,0.96190000,5.99433364,0.22523136,-812.10096870,1.68277660,0.95286864,2.63564524,,需要交叉构型单点计算
sesqui_7ring_2NN+,2,2,3,conf_2,conf_2,conf_3,-680.92051690,RwB97XD,ground.log,True,-680.64694700,UwB97XD,ground.log,True,-680.87135670,UwB97XD,continued_opt.log,True,2.53300000,s0_s1.log,1.52920000,s0_t1.log,1.00380000,7.44421615,1.33771718,-680.86591440,1.48580970,0.19148282,1.67729253,,需要交叉构型单点计算
sesqui_7ring_2cn_in,3,4,1,conf_3,conf_3,conf_1,-647.67284950,RwB97XD,ground.log,True,-647.38672450,UwB97XD,ground.log,True,-647.63791130,UwB97XD,imaginary_corrected.log,True,3.14210000,s0_s1.log,1.92290000,s0_t1.log,1.21920000,7.78585782,0.95071685,-647.61003910,1.70915804,0.97218315,2.68134119,,需要交叉构型单点计算
sesquifulvalene,1,1,1,conf_1,conf_1,conf_1,-463.20420750,RwB97XD,ground.log,True,-462.95259540,UwB97XD,ground.log,True,-463.16456480,UwB97XD,ground.log,True,2.80090000,s0_s1.log,1.45300000,s0_t1.log,1.34790000,6.84671398,1.07873281,-463.17707355,0.73835239,0.37426719,1.11261958,,需要交叉构型单点计算
sh_oh_cn,9,8,6,conf_8,conf_2,conf_3,-1439.65170400,RwB97XD,ground.log,True,-1439.40223220,UwB97XD,imaginary_corrected.log,True,-1439.63499980,UwB97XD,continued_opt.log,True,2.40420000,s0_s1.log,2.00820000,s0_t1.log,0.39600000,6.78847345,0.45454443,-1439.60370281,1.30617891,1.55365557,2.85983448,,需要交叉构型单点计算
